external_id,first_name,last_name,full_name,display_name,short_name,team_id
4566165,J.J.,Roberts,J.J. Roberts,J.J. Roberts,J.J. Roberts,27
4426508,Shilo,Sanders,Shilo Sanders,Shilo Sanders,S. Sanders,27
4428522,Tykee,Smith,Tykee Smith,Tykee Smith,T. Smith,27
3134362,Vita,Vea,Vita Vea,Vita Vea,V. Vea,27
4036651,Kindle,Vildor,Kindle Vildor,Kindle Vildor,K. Vildor,27
5085355,David,Walker,David Walker,David Walker,D. Walker,27
3045251,Anthony,Walker Jr.,Anthony Walker Jr.,Anthony Walker Jr.,A. Walker Jr.,27
4431607,Desmond,Watson,Desmond Watson,Desmond Watson,D. Watson,27
4373706,Markees,Watts,Markees Watts,Markees Watts,M. Watts,27
4034790,Antoine,Winfield Jr.,Antoine Winfield Jr.,Antoine Winfield Jr.,A. Winfield Jr.,27
4428917,Rashad,Wisdom,Rashad Wisdom,Rashad Wisdom,R. Wisdom,27
4578233,Ryan,Coe,Ryan Coe,Ryan Coe,R. Coe,27
4361727,Evan,Deckers,Evan Deckers,Evan Deckers,E. Deckers,27
2577619,Riley,Dixon,Riley Dixon,Riley Dixon,R. Dixon,27
4244814,Jake,Julien,Jake Julien,Jake Julien,J. Julien,27
3150744,Chase,McLaughlin,Chase McLaughlin,Chase McLaughlin,C. McLaughlin,27
2574511,Brandon,Allen,Brandon Allen,Brandon Allen,B. Allen,10
4883647,Elic,Ayomanor,Elic Ayomanor,Elic Ayomanor,E. Ayomanor,10
3045169,Tim,Boyle,Tim Boyle,Tim Boyle,T. Boyle,10
3914440,Chandler,Brewer,Chandler Brewer,Chandler Brewer,C. Brewer,10
4567156,Treylon,Burks,Treylon Burks,Treylon Burks,T. Burks,10
4367567,Julius,Chestnut,Julius Chestnut,Julius Chestnut,J. Chestnut,10
4426987,Brandon,Crenshaw-Dickson,Brandon Crenshaw-Dickson,Brandon Crenshaw-Dickson,B. Crenshaw-Dickson,10
4035448,Lloyd,Cushenberry III,Lloyd Cushenberry III,Lloyd Cushenberry III,L. Cushenberry III,10
4429466,Drake,Dabney,Drake Dabney,Drake Dabney,D. Dabney,10
4431268,Chimere,Dike,Chimere Dike,Chimere Dike,C. Dike,10
4250945,Colton,Dowell,Colton Dowell,Colton Dowell,C. Dowell,10
4372058,Jaelyn,Duncan,Jaelyn Duncan,Jaelyn Duncan,J. Duncan,10
3116135,Blake,Hance,Blake Hance,Blake Hance,B. Hance,10
4686728,Gunnar,Helm,Gunnar Helm,Gunnar Helm,G. Helm,10
4427575,Jha'Quan,Jackson,Jha'Quan Jackson,Jha'Quan Jackson,J. Jackson,10
4240800,Brenden,Jaimes,Brenden Jaimes,Brenden Jaimes,B. Jaimes,10
4374033,Jermar,Jefferson,Jermar Jefferson,Jermar Jefferson,J. Jefferson,10
3930066,Van,Jefferson,Van Jefferson,Van Jefferson,V. Jefferson,10
4057082,Mason,Kinsey,Mason Kinsey,Mason Kinsey,M. Kinsey,10
4431437,JC,Latham,JC Latham,JC Latham,J. Latham,10
