,external_id,season,matchup
0,1631217003,1933,NYG @ CHI
1,1641209019,1934,CHI @ NYG
2,1651215008,1935,NYG @ DET
3,1661213009,1936,WSH @ GB
4,1681211019,1938,GB @ NYG
5,1691210009,1939,NYG @ GB
6,1701208028,1940,CHI @ WSH
7,1711221003,1941,NYG @ CHI
8,1721213028,1942,CHI @ WSH
9,1731226003,1943,WSH @ CHI
10,1741217019,1944,GB @ NYG
11,1751216014,1945,WSH @ LAR
12,1761215019,1946,CHI @ NYG
13,1771228022,1947,PHI @ ARI
14,1781219021,1948,ARI @ PHI
15,1791218014,1949,PHI @ LAR
16,1801224005,1950,LAR @ CLE
17,1811223014,1951,CLE @ LAR
18,1821228005,1952,DET @ CLE
19,1831227008,1953,CLE @ DET
20,1841226005,1954,DET @ CLE
21,1851226014,1955,CLE @ LAR
22,1861230019,1956,CHI @ NYG
23,1871229008,1957,CLE @ DET
24,1881228019,1958,IND @ NYG
25,1891227150,1959,NYG @ IND
26,1901226021,1960,GB @ PHI
27,1910101034,1961,LAC @ TEN
28,1911231009,1961,NYG @ GB
29,1921223034,1962,KC @ TEN
30,1921230019,1962,GB @ NYG
31,1931229003,1963,NYG @ CHI
32,1940105024,1964,NE @ SD
33,1940923007,1964,KC @ DEN
34,1941226002,1964,SD @ BUF
35,1941227005,1964,IND @ CLE
36,1951226024,1965,BUF @ SD
37,1960102009,1966,CLE @ GB
38,1970101002,1967,KC @ BUF
39,1970101006,1967,GB @ DAL
40,1970115009,1967,KC @ GB
41,1970903007,1967,NE @ DEN
42,1970909010,1967,KC @ TEN
43,1970909024,1967,NE @ SD
44,1970910002,1967,NYJ @ BUF
45,1970910013,1967,DEN @ OAK
46,1970917002,1967,TEN @ BUF
47,1970917005,1967,DAL @ CLE
48,1970917009,1967,DET @ GB
49,1970917150,1967,ATL @ IND
50,1970917013,1967,NE @ OAK
51,1970917015,1967,DEN @ MIA
52,1970917016,1967,SF @ MIN
53,1970917018,1967,LAR @ NO
54,1970917021,1967,WSH @ PHI
55,1970917022,1967,NYG @ ARI
56,1970917023,1967,CHI @ PIT
57,1970922014,1967,MIN @ LAR
58,1970924002,1967,NE @ BUF
59,1970924006,1967,NYG @ DAL
60,1970924007,1967,NYJ @ DEN
61,1970924008,1967,CLE @ DET
62,1970924009,1967,CHI @ GB
63,1970924015,1967,KC @ MIA
64,1970924018,1967,WSH @ NO
65,1970924021,1967,IND @ PHI
66,1970924023,1967,ARI @ PIT
67,1970924024,1967,TEN @ SD
68,1970924025,1967,ATL @ SF
69,1971001002,1967,SD @ BUF
70,1971001006,1967,LAR @ DAL
71,1971001009,1967,ATL @ GB
