,external_id,season,matchup
183,171123028,1997,NYG @ WSH
184,171123033,1997,ARI @ BAL
185,171124007,1997,OAK @ DEN
186,171127006,1997,TEN @ DAL
187,171127008,1997,CHI @ DET
188,171130002,1997,NYJ @ BUF
189,171130012,1997,SF @ KC
190,171130013,1997,MIA @ OAK
191,171130017,1997,IND @ NE
192,171130019,1997,TB @ NYG
193,171130021,1997,CIN @ PHI
194,171130022,1997,PIT @ ARI
195,171130024,1997,DEN @ SD
196,171130026,1997,ATL @ SEA
197,171130028,1997,STL @ WSH
198,171130029,1997,NO @ CAR
199,171130030,1997,BAL @ JAX
200,171201016,1997,GB @ MIN
201,171204004,1997,TEN @ CIN
202,171207003,1997,BUF @ CHI
203,171207012,1997,OAK @ KC
204,171207015,1997,DET @ MIA
205,171207018,1997,STL @ NO
206,171207020,1997,IND @ NYJ
207,171207021,1997,NYG @ PHI
208,171207022,1997,WSH @ ARI
209,171207023,1997,DEN @ PIT
210,171207024,1997,ATL @ SD
211,171207025,1997,MIN @ SF
212,171207027,1997,GB @ TB
213,171207030,1997,NE @ JAX
214,171207033,1997,SEA @ BAL
215,171208006,1997,CAR @ DAL
216,171213017,1997,PIT @ NE
217,171213019,1997,WSH @ NYG
218,171214001,1997,PHI @ ATL
219,171214002,1997,JAX @ BUF
220,171214004,1997,DAL @ CIN
221,171214011,1997,MIA @ IND
222,171214013,1997,SEA @ OAK
223,171214014,1997,CHI @ STL
224,171214016,1997,DET @ MIN
225,171214018,1997,ARI @ NO
226,171214020,1997,TB @ NYJ
227,171214024,1997,KC @ SD
228,171214029,1997,GB @ CAR
229,171214033,1997,TEN @ BAL
230,171215025,1997,DEN @ SF
231,171220009,1997,BUF @ GB
232,171220029,1997,STL @ CAR
233,171221004,1997,BAL @ CIN
234,171221006,1997,NYG @ DAL
235,171221007,1997,SD @ DEN
236,171221008,1997,NYJ @ DET
237,171221010,1997,PIT @ TEN
238,171221012,1997,NO @ KC
239,171221013,1997,JAX @ OAK
240,171221016,1997,IND @ MIN
241,171221022,1997,ATL @ ARI
242,171221026,1997,SF @ SEA
243,171221027,1997,CHI @ TB
244,171221028,1997,PHI @ WSH
245,171222015,1997,NE @ MIA
246,171227007,1997,JAX @ DEN
247,171227019,1997,MIN @ NYG
248,171228017,1997,MIA @ NE
249,171228027,1997,DET @ TB
