external_id,season
1631217003,1933
1641209019,1934
1651215008,1935
1661213009,1936
1681211019,1938
1691210009,1939
1701208028,1940
1711221003,1941
1721213028,1942
1731226003,1943
1741217019,1944
1751216014,1945
1761215019,1946
1771228022,1947
1781219021,1948
1791218014,1949
1801224005,1950
1811223014,1951
1821228005,1952
1831227008,1953
1841226005,1954
1851226014,1955
1861230019,1956
1871229008,1957
1881228019,1958
1891227150,1959
1901226021,1960
1910101034,1961
1911231009,1961
1921223034,1962
1921230019,1962
1931229003,1963
1940105024,1964
1940923007,1964
1941226002,1964
1941227005,1964
1951226024,1965
1960102009,1966
1970101002,1967
1970101006,1967
1970115009,1967
1970903007,1967
1970909010,1967
1970909024,1967
1970910002,1967
1970910013,1967
1970917002,1967
1970917005,1967
1970917009,1967
1970917150,1967
1970917013,1967
1970917015,1967
1970917016,1967
1970917018,1967
1970917021,1967
1970917022,1967
1970917023,1967
1970922014,1967
1970924002,1967
1970924006,1967
1970924007,1967
1970924008,1967
1970924009,1967
1970924015,1967
1970924018,1967
1970924021,1967
1970924023,1967
1970924024,1967
1970924025,1967
1971001002,1967
1971001006,1967
1971001009,1967
1971001010,1967
1971001150,1967
1971001013,1967
1971001016,1967
1971001018,1967
1971001019,1967
1971001020,1967
1971001021,1967
1971001022,1967
1971001023,1967
1971001028,1967
1971007005,1967
1971007020,1967
1971008001,1967
1971008003,1967
1971008007,1967
1971008008,1967
1971008012,1967
1971008014,1967
1971008016,1967
1971008019,1967
1971008024,1967
1971008028,1967
1971015001,1967
1971015002,1967
1971015003,1967
1971015005,1967
1971015006,1967
1971015009,1967
1971015150,1967
1971015017,1967
1971015019,1967
1971015020,1967
1971015021,1967
1971015023,1967
1971015024,1967
1971022005,1967
1971022007,1967
1971022008,1967
1971022012,1967
1971022014,1967
1971022015,1967
1971022016,1967
1971022017,1967
1971022019,1967
1971022022,1967
1971022023,1967
1971022025,1967
1971029001,1967
1971029003,1967
1971029010,1967
1971029012,1967
1971029013,1967
1971029019,1967
1971029020,1967
1971029021,1967
1971029025,1967
1971029028,1967
1971030022,1967
1971105002,1967
1971105006,1967
1971105007,1967
