,external_id,season
0,160106023,1996
1,160106025,1996
2,160107006,1996
3,160107012,1996
4,160114006,1996
5,160114023,1996
6,160128023,1996
7,160901007,1996
8,160901010,1996
9,160901011,1996
10,160901014,1996
11,160901015,1996
12,160901016,1996
13,160901019,1996
14,160901024,1996
15,160901025,1996
16,160901027,1996
17,160901028,1996
18,160901029,1996
19,160901030,1996
20,160901033,1996
21,160902003,1996
22,160908001,1996
23,160908002,1996
24,160908006,1996
25,160908008,1996
26,160908012,1996
27,160908018,1996
28,160908020,1996
29,160908022,1996
30,160908023,1996
31,160908024,1996
32,160908025,1996
33,160908026,1996
34,160908028,1996
35,160908030,1996
36,160909009,1996
37,160915003,1996
38,160915004,1996
39,160915006,1996
40,160915007,1996
41,160915009,1996
42,160915010,1996
43,160915013,1996
44,160915015,1996
45,160915017,1996
46,160915019,1996
47,160915021,1996
48,160915026,1996
49,160916023,1996
50,160922001,1996
51,160922002,1996
52,160922008,1996
53,160922012,1996
54,160922013,1996
55,160922014,1996
56,160922016,1996
57,160922017,1996
58,160922018,1996
59,160922020,1996
60,160922027,1996
61,160922029,1996
62,160923011,1996
63,160929003,1996
64,160929004,1996
65,160929019,1996
66,160929022,1996
67,160929023,1996
68,160929024,1996
69,160929025,1996
70,160929026,1996
71,160929027,1996
72,160929028,1996
73,160929030,1996
74,160929033,1996
75,160930021,1996
76,161006002,1996
77,161006003,1996
78,161006004,1996
79,161006007,1996
80,161006008,1996
81,161006014,1996
82,161006015,1996
83,161006016,1996
84,161006018,1996
85,161006020,1996
86,161006033,1996
87,161007012,1996
88,161013001,1996
89,161013002,1996
90,161013006,1996
91,161013011,1996
92,161013013,1996
93,161013017,1996
94,161013018,1996
95,161013019,1996
96,161013023,1996
97,161013027,1996
98,161013029,1996
99,161013030,1996
100,161014009,1996
101,161017012,1996
102,161019014,1996
103,161020006,1996
104,161020007,1996
105,161020010,1996
106,161020011,1996
107,161020014,1996
108,161020020,1996
109,161020021,1996
110,161020022,1996
111,161020025,1996
112,161020028,1996
113,161020029,1996
114,161021024,1996
115,161027001,1996
116,161027004,1996
117,161027007,1996
118,161027008,1996
119,161027009,1996
120,161027010,1996
121,161027015,1996
122,161027017,1996
123,161027021,1996
124,161027022,1996
125,161027026,1996
126,161027028,1996
127,161027033,1996
128,161028016,1996
129,161103001,1996
130,161103002,1996
131,161103003,1996
132,161103006,1996
133,161103009,1996
134,161103011,1996
135,161103016,1996
136,161103017,1996
137,161103018,1996
138,161103019,1996
139,161103023,1996
140,161103026,1996
141,161103033,1996
142,161104013,1996
143,161110004,1996
144,161110007,1996
145,161110012,1996
146,161110014,1996
147,161110015,1996
148,161110018,1996
149,161110020,1996
150,161110021,1996
151,161110025,1996
152,161110026,1996
153,161110027,1996
154,161110028,1996
155,161110029,1996
156,161110030,1996
157,161111024,1996
158,161117001,1996
159,161117002,1996
160,161117008,1996
161,161117010,1996
162,161117011,1996
163,161117012,1996
164,161117013,1996
165,161117014,1996
166,161117017,1996
167,161117021,1996
168,161117022,1996
169,161117023,1996
170,161117024,1996
171,161117025,1996
172,161118006,1996
173,161124002,1996
174,161124003,1996
175,161124004,1996
176,161124010,1996
177,161124012,1996
178,161124014,1996
179,161124016,1996
180,161124017,1996
181,161124019,1996
182,161124022,1996
183,161124026,1996
184,161124027,1996
185,161124028,1996
186,161124033,1996
187,161125015,1996
188,161128006,1996
189,161128008,1996
190,161201007,1996
191,161201009,1996
192,161201011,1996
193,161201013,1996
194,161201016,1996
195,161201018,1996
196,161201020,1996
197,161201021,1996
198,161201024,1996
199,161201029,1996
200,161201030,1996
201,161201033,1996
202,161202001,1996
203,161205011,1996
204,161208003,1996
205,161208004,1996
206,161208008,1996
207,161208009,1996
208,161208010,1996
209,161208015,1996
210,161208017,1996
211,161208018,1996
212,161208022,1996
213,161208023,1996
214,161208025,1996
215,161208026,1996
216,161208027,1996
217,161209013,1996
218,161214003,1996
219,161214020,1996
220,161215001,1996
221,161215006,1996
222,161215007,1996
223,161215008,1996
224,161215010,1996
225,161215012,1996
226,161215016,1996
227,161215019,1996
228,161215022,1996
229,161215023,1996
230,161215029,1996
231,161215030,1996
232,161216015,1996
233,161221014,1996
234,161221019,1996
235,161222002,1996
236,161222004,1996
237,161222009,1996
238,161222013,1996
239,161222020,1996
240,161222021,1996
241,161222024,1996
242,161222027,1996
243,161222028,1996
244,161222029,1996
245,161222030,1996
246,161222033,1996
247,161223025,1996
248,161228002,1996
249,161228006,1996
250,161229023,1996
251,161229025,1996
