external_id,season,matchup
1971203028,1967,PHI @ WSH
1971209014,1967,GB @ LAR
1971209017,1967,BUF @ NE
1971210001,1967,SF @ ATL
1971210003,1967,MIN @ CHI
1971210006,1967,PHI @ DAL
1971210010,1967,OAK @ TEN
1971210015,1967,SD @ MIA
1971210019,1967,DET @ NYG
1971210020,1967,KC @ NYJ
1971210022,1967,CLE @ ARI
1971210023,1967,NO @ PIT
1971216010,1967,SD @ TEN
1971216025,1967,DAL @ SF
1971217001,1967,CHI @ ATL
1971217007,1967,KC @ DEN
1971217008,1967,MIN @ DET
1971217009,1967,PIT @ GB
1971217013,1967,NYJ @ OAK
1971217014,1967,PIT @ LAR
1971217015,1967,NE @ MIA
1971217019,1967,ARI @ NYG
1971217021,1967,CLE @ PHI
1971217028,1967,NO @ WSH
1971223009,1967,LAR @ GB
1971223015,1967,TEN @ MIA
1971224006,1967,CLE @ DAL
1971224013,1967,BUF @ OAK
1971224024,1967,NYJ @ SD
1971231009,1967,DAL @ GB
1971231013,1967,TEN @ OAK
1980114013,1968,GB @ OAK
1980906024,1968,CIN @ SD
1980908002,1968,NE @ BUF
1980909010,1968,KC @ TEN
1980914015,1968,TEN @ MIA
1980914016,1968,ATL @ MIN
1980915002,1968,OAK @ BUF
1980915003,1968,WSH @ CHI
1980915004,1968,DEN @ CIN
1980915006,1968,DET @ DAL
1980915009,1968,PHI @ GB
1980915150,1968,SF @ IND
1980915012,1968,NYJ @ KC
1980915018,1968,CLE @ NO
1980915023,1968,NYG @ PIT
1980916022,1968,LAR @ ARI
1980921015,1968,OAK @ MIA
1980921024,1968,TEN @ SD
1980922001,1968,IND @ ATL
1980922004,1968,BUF @ CIN
1980922006,1968,CLE @ DAL
1980922008,1968,CHI @ DET
1980922009,1968,MIN @ GB
1980922012,1968,DEN @ KC
1980922014,1968,PIT @ LAR
1980922017,1968,NYJ @ NE
1980922018,1968,WSH @ NO
1980922021,1968,NYG @ PHI
1980922025,1968,ARI @ SF
1980923001,1968,PIT @ ATL
1980928015,1968,KC @ MIA
1980929002,1968,NYJ @ BUF
1980929004,1968,SD @ CIN
1980929005,1968,LAR @ CLE
1980929007,1968,NE @ DEN
1980929009,1968,DET @ GB
1980929010,1968,OAK @ TEN
1980929016,1968,CHI @ MIN
1980929018,1968,ARI @ NO
1980929019,1968,WSH @ NYG
1980929021,1968,DAL @ PHI
1980929025,1968,ATL @ SF
1981005005,1968,PIT @ CLE
