,external_id,season,matchup
0,180103023,1998,NE @ PIT
1,180103025,1998,MIN @ SF
2,180104009,1998,TB @ GB
3,180104012,1998,DEN @ KC
4,180111023,1998,DEN @ PIT
5,180111025,1998,GB @ SF
6,180125007,1998,GB @ DEN
7,180906003,1998,JAX @ CHI
8,180906004,1998,TEN @ CIN
9,180906006,1998,ARI @ DAL
10,180906009,1998,DET @ GB
11,180906011,1998,MIA @ IND
12,180906012,1998,OAK @ KC
13,180906014,1998,NO @ STL
14,180906016,1998,TB @ MIN
15,180906019,1998,WSH @ NYG
16,180906021,1998,SEA @ PHI
17,180906024,1998,BUF @ SD
18,180906025,1998,NYJ @ SF
19,180906029,1998,ATL @ CAR
20,180906033,1998,PIT @ BAL
21,180907007,1998,NE @ DEN
22,180913001,1998,PHI @ ATL
23,180913007,1998,DAL @ DEN
24,180913008,1998,CIN @ DET
25,180913009,1998,TB @ GB
26,180913010,1998,SD @ TEN
27,180913013,1998,NYG @ OAK
28,180913014,1998,MIN @ STL
29,180913015,1998,BUF @ MIA
30,180913017,1998,IND @ NE
31,180913018,1998,CAR @ NO
32,180913020,1998,BAL @ NYJ
33,180913023,1998,CHI @ PIT
34,180913026,1998,ARI @ SEA
35,180913030,1998,KC @ JAX
36,180914028,1998,SF @ WSH
37,180920002,1998,STL @ BUF
38,180920004,1998,GB @ CIN
39,180920012,1998,SD @ KC
40,180920013,1998,DEN @ OAK
41,180920015,1998,PIT @ MIA
42,180920016,1998,DET @ MIN
43,180920017,1998,TEN @ NE
44,180920020,1998,IND @ NYJ
45,180920022,1998,PHI @ ARI
46,180920026,1998,WSH @ SEA
47,180920027,1998,CHI @ TB
48,180920030,1998,BAL @ JAX
49,180921019,1998,DAL @ NYG
50,180927003,1998,MIN @ CHI
51,180927006,1998,OAK @ DAL
52,180927010,1998,JAX @ TEN
53,180927011,1998,NO @ IND
54,180927014,1998,ARI @ STL
55,180927021,1998,KC @ PHI
56,180927023,1998,SEA @ PIT
57,180927024,1998,NYG @ SD
58,180927025,1998,ATL @ SF
59,180927028,1998,DEN @ WSH
60,180927029,1998,GB @ CAR
61,180927033,1998,CIN @ BAL
62,180928008,1998,TB @ DET
63,181004001,1998,CAR @ ATL
64,181004002,1998,SF @ BUF
65,181004003,1998,DET @ CHI
66,181004007,1998,PHI @ DEN
67,181004011,1998,SD @ IND
68,181004012,1998,SEA @ KC
69,181004018,1998,NE @ NO
70,181004020,1998,MIA @ NYJ
71,181004022,1998,OAK @ ARI
72,181004027,1998,NYG @ TB
73,181004028,1998,DAL @ WSH
74,181005009,1998,MIN @ GB
75,181011004,1998,PIT @ CIN
76,181011006,1998,CAR @ DAL
77,181011011,1998,BUF @ IND
78,181011013,1998,SD @ OAK
79,181011014,1998,NYJ @ STL
80,181011017,1998,KC @ NE
81,181011018,1998,SF @ NO
82,181011019,1998,ATL @ NYG
83,181011021,1998,WSH @ PHI
84,181011022,1998,CHI @ ARI
85,181011026,1998,DEN @ SEA
86,181011033,1998,TEN @ BAL
87,181012030,1998,MIA @ JAX
88,181015008,1998,GB @ DET
89,181018001,1998,NO @ ATL
90,181018002,1998,JAX @ BUF
91,181018003,1998,DAL @ CHI
92,181018010,1998,CIN @ TEN
93,181018015,1998,STL @ MIA
94,181018016,1998,WSH @ MIN
95,181018019,1998,ARI @ NYG
96,181018023,1998,BAL @ PIT
97,181018024,1998,PHI @ SD
98,181018025,1998,IND @ SF
99,181018027,1998,CAR @ TB
100,181019017,1998,NYJ @ NE
101,181025007,1998,JAX @ DEN
102,181025008,1998,MIN @ DET
103,181025009,1998,BAL @ GB
104,181025010,1998,CHI @ TEN
105,181025013,1998,CIN @ OAK
106,181025014,1998,SF @ STL
107,181025015,1998,NE @ MIA
108,181025018,1998,TB @ NO
109,181025020,1998,ATL @ NYJ
110,181025024,1998,SEA @ SD
111,181025029,1998,BUF @ CAR
112,181026012,1998,PIT @ KC
113,181101001,1998,STL @ ATL
114,181101002,1998,MIA @ BUF
115,181101004,1998,DEN @ CIN
116,181101008,1998,ARI @ DET
117,181101009,1998,SF @ GB
118,181101011,1998,NE @ IND
119,181101012,1998,NYJ @ KC
120,181101023,1998,TEN @ PIT
121,181101026,1998,OAK @ SEA
122,181101027,1998,MIN @ TB
123,181101028,1998,NYG @ WSH
124,181101029,1998,NO @ CAR
125,181101033,1998,JAX @ BAL
126,181102021,1998,DAL @ PHI
127,181108003,1998,STL @ CHI
128,181108006,1998,NYG @ DAL
129,181108007,1998,SD @ DEN
130,181108015,1998,IND @ MIA
131,181108016,1998,NO @ MIN
132,181108017,1998,ATL @ NE
133,181108020,1998,BUF @ NYJ
134,181108021,1998,DET @ PHI
135,181108022,1998,WSH @ ARI
136,181108025,1998,CAR @ SF
137,181108026,1998,KC @ SEA
138,181108027,1998,TEN @ TB
139,181108030,1998,CIN @ JAX
140,181108033,1998,OAK @ BAL
141,181109023,1998,GB @ PIT
142,181115001,1998,SF @ ATL
143,181115002,1998,NE @ BUF
144,181115008,1998,CHI @ DET
145,181115010,1998,PIT @ TEN
146,181115011,1998,NYJ @ IND
147,181115013,1998,SEA @ OAK
148,181115016,1998,CIN @ MIN
149,181115018,1998,STL @ NO
150,181115019,1998,GB @ NYG
151,181115022,1998,DAL @ ARI
152,181115024,1998,BAL @ SD
153,181115028,1998,PHI @ WSH
154,181115029,1998,MIA @ CAR
155,181115030,1998,TB @ JAX
156,181116012,1998,DEN @ KC
157,181122001,1998,CHI @ ATL
158,181122002,1998,IND @ BUF
159,181122004,1998,BAL @ CIN
160,181122006,1998,SEA @ DAL
161,181122007,1998,OAK @ DEN
162,181122010,1998,NYJ @ TEN
163,181122014,1998,CAR @ STL
164,181122016,1998,GB @ MIN
165,181122019,1998,PHI @ NYG
166,181122023,1998,JAX @ PIT
167,181122024,1998,KC @ SD
168,181122025,1998,NO @ SF
169,181122027,1998,DET @ TB
170,181122028,1998,ARI @ WSH
171,181123017,1998,MIA @ NE
172,181126006,1998,MIN @ DAL
173,181126008,1998,PIT @ DET
174,181129003,1998,TB @ CHI
175,181129004,1998,JAX @ CIN
176,181129009,1998,PHI @ GB
177,181129012,1998,ARI @ KC
178,181129013,1998,WSH @ OAK
179,181129014,1998,ATL @ STL
180,181129015,1998,NO @ MIA
181,181129017,1998,BUF @ NE
182,181129020,1998,CAR @ NYJ
183,181129024,1998,DEN @ SD
184,181129026,1998,TEN @ SEA
185,181129033,1998,IND @ BAL
186,181130025,1998,NYG @ SF
187,181203021,1998,STL @ PHI
188,181206001,1998,IND @ ATL
189,181206004,1998,BUF @ CIN
190,181206007,1998,KC @ DEN
191,181206010,1998,BAL @ TEN
192,181206013,1998,MIA @ OAK
193,181206016,1998,CHI @ MIN
194,181206018,1998,DAL @ NO
195,181206020,1998,SEA @ NYJ
196,181206022,1998,NYG @ ARI
197,181206023,1998,NE @ PIT
198,181206028,1998,SD @ WSH
199,181206029,1998,SF @ CAR
200,181206030,1998,DET @ JAX
201,181207027,1998,GB @ TB
202,181213002,1998,OAK @ BUF
203,181213009,1998,CHI @ GB
204,181213011,1998,CIN @ IND
205,181213012,1998,DAL @ KC
206,181213014,1998,NE @ STL
207,181213015,1998,NYJ @ MIA
208,181213018,1998,ATL @ NO
209,181213019,1998,DEN @ NYG
210,181213021,1998,ARI @ PHI
211,181213026,1998,SD @ SEA
212,181213027,1998,PIT @ TB
213,181213029,1998,WSH @ CAR
214,181213030,1998,TEN @ JAX
215,181213033,1998,MIN @ BAL
216,181214025,1998,DET @ SF
217,181219002,1998,NYJ @ BUF
218,181219028,1998,TB @ WSH
219,181220003,1998,BAL @ CHI
220,181220006,1998,PHI @ DAL
221,181220008,1998,ATL @ DET
222,181220009,1998,TEN @ GB
223,181220016,1998,JAX @ MIN
224,181220017,1998,SF @ NE
225,181220019,1998,KC @ NYG
226,181220022,1998,NO @ ARI
227,181220023,1998,CIN @ PIT
228,181220024,1998,OAK @ SD
229,181220026,1998,IND @ SEA
230,181220029,1998,STL @ CAR
231,181221015,1998,DEN @ MIA
232,181226010,1998,MIN @ TEN
233,181226013,1998,KC @ OAK
234,181227001,1998,MIA @ ATL
235,181227003,1998,GB @ CHI
236,181227004,1998,TB @ CIN
237,181227006,1998,WSH @ DAL
238,181227007,1998,SEA @ DEN
239,181227011,1998,CAR @ IND
240,181227018,1998,BUF @ NO
241,181227020,1998,NE @ NYJ
242,181227021,1998,NYG @ PHI
243,181227022,1998,SD @ ARI
244,181227025,1998,STL @ SF
245,181227033,1998,DET @ BAL
246,181228030,1998,PIT @ JAX
247,190102006,1999,ARI @ DAL
248,190102015,1999,BUF @ MIA
249,190103025,1999,GB @ SF
250,190103030,1999,NE @ JAX
251,190109001,1999,SF @ ATL
252,190109007,1999,MIA @ DEN
253,190110016,1999,ARI @ MIN
254,190110020,1999,JAX @ NYJ
255,190117007,1999,NYJ @ DEN
256,190117016,1999,ATL @ MIN
257,190131001,1999,DEN @ ATL
258,190912001,1999,MIN @ ATL
259,190912003,1999,KC @ CHI
260,190912005,1999,PIT @ CLE
261,190912009,1999,OAK @ GB
262,190912010,1999,CIN @ TEN
263,190912011,1999,BUF @ IND
264,190912014,1999,BAL @ STL
265,190912018,1999,CAR @ NO
266,190912020,1999,NE @ NYJ
267,190912021,1999,ARI @ PHI
268,190912026,1999,DET @ SEA
269,190912027,1999,NYG @ TB
270,190912028,1999,DAL @ WSH
271,190912030,1999,SF @ JAX
272,190913007,1999,MIA @ DEN
273,190919002,1999,NYJ @ BUF
274,190919003,1999,SEA @ CHI
275,190919004,1999,SD @ CIN
276,190919008,1999,GB @ DET
277,190919010,1999,CLE @ TEN
278,190919012,1999,DEN @ KC
279,190919015,1999,ARI @ MIA
280,190919016,1999,OAK @ MIN
281,190919017,1999,IND @ NE
282,190919019,1999,WSH @ NYG
283,190919021,1999,TB @ PHI
284,190919025,1999,NO @ SF
285,190919029,1999,JAX @ CAR
286,190919033,1999,PIT @ BAL
287,190920006,1999,ATL @ DAL
288,190926002,1999,PHI @ BUF
289,190926009,1999,MIN @ GB
290,190926012,1999,DET @ KC
291,190926013,1999,CHI @ OAK
292,190926014,1999,ATL @ STL
293,190926017,1999,NYG @ NE
294,190926020,1999,WSH @ NYJ
295,190926023,1999,SEA @ PIT
296,190926024,1999,IND @ SD
297,190926027,1999,DEN @ TB
298,190926029,1999,CIN @ CAR
299,190926030,1999,TEN @ JAX
300,190926033,1999,CLE @ BAL
301,190927022,1999,SF @ ARI
302,191003001,1999,BAL @ ATL
303,191003003,1999,NO @ CHI
